Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-05T23:00:00+02:00;131,255;0,12816
2024-08-05T23:15:00+02:00;117,88;0,12816
2024-08-05T23:30:00+02:00;115,33;0,12816
2024-08-05T23:45:00+02:00;95,6325;0,12816
2024-08-06T00:00:00+02:00;85,7075;0,10273
2024-08-06T00:15:00+02:00;88,4575;0,10273
2024-08-06T00:30:00+02:00;90,8075;0,10273
2024-08-06T00:45:00+02:00;87,775;0,10273
2024-08-06T01:00:00+02:00;86,925;0,09513
2024-08-06T01:15:00+02:00;88,1;0,09513
2024-08-06T01:30:00+02:00;82,75;0,09513
2024-08-06T01:45:00+02:00;79,05;0,09513
2024-08-06T02:00:00+02:00;78,4;0,08882
2024-08-06T02:15:00+02:00;80,65;0,08882
2024-08-06T02:30:00+02:00;77,8;0,08882
2024-08-06T02:45:00+02:00;78,65;0,08882
2024-08-06T03:00:00+02:00;77,2;0,08479
2024-08-06T03:15:00+02:00;79,85;0,08479
2024-08-06T03:30:00+02:00;75,925;0,08479
2024-08-06T03:45:00+02:00;79,55;0,08479
2024-08-06T04:00:00+02:00;83,35;0,08528
2024-08-06T04:15:00+02:00;85,925;0,08528
2024-08-06T04:30:00+02:00;84,775;0,08528
2024-08-06T04:45:00+02:00;91,125;0,08528
2024-08-06T05:00:00+02:00;90,1;0,09529
2024-08-06T05:15:00+02:00;93,825;0,09529
2024-08-06T05:30:00+02:00;97,675;0,09529
2024-08-06T05:45:00+02:00;121,225;0,09529
2024-08-06T06:00:00+02:00;176,415;0,12309
2024-08-06T06:15:00+02:00;193,175;0,12309
2024-08-06T06:30:00+02:00;180,65;0,12309
2024-08-06T06:45:00+02:00;174,625;0,12309
2024-08-06T07:00:00+02:00;171,075;0,12582
2024-08-06T07:15:00+02:00;129,9;0,12582
2024-08-06T07:30:00+02:00;119,05;0,12582
2024-08-06T07:45:00+02:00;99,425;0,12582
2024-08-06T08:00:00+02:00;75,225;0,08631
2024-08-06T08:15:00+02:00;53,7;0,08631
2024-08-06T08:30:00+02:00;46,725;0,08631
2024-08-06T08:45:00+02:00;32,425;0,08631
2024-08-06T09:00:00+02:00;18,275;0,07574
2024-08-06T09:15:00+02:00;14,2;0,07574
2024-08-06T09:30:00+02:00;7,175;0,07574
2024-08-06T09:45:00+02:00;1;0,07574
